ID:9930 SKID:DK0+286.5  timeStamp:2025-03-28 08:08:24:557
ID:9930 SKID:DK0+345.5  timeStamp:2025-03-28 08:08:34:54
ID:9930 SKID:DK0+347  timeStamp:2025-03-28 08:08:34:251
ID:9930 SKID:DK0+348  timeStamp:2025-03-28 08:08:34:431
ID:9930 SKID:DK0+349  timeStamp:2025-03-28 08:08:34:942
ID:9930 SKID:DK0+350.5  timeStamp:2025-03-28 08:08:35:200
ID:9930 SKID:DK0+351.5  timeStamp:2025-03-28 08:08:35:376
ID:9930 SKID:DK0+352.5  timeStamp:2025-03-28 08:08:35:551
ID:9930 SKID:DK0+354  timeStamp:2025-03-28 08:08:35:725
ID:9930 SKID:DK0+355  timeStamp:2025-03-28 08:08:35:909
ID:9930 SKID:DK0+356  timeStamp:2025-03-28 08:08:36:102
ID:9930 SKID:DK0+357  timeStamp:2025-03-28 08:08:36:291
ID:9930 SKID:DK0+358.5  timeStamp:2025-03-28 08:08:36:473
ID:9930 SKID:DK0+359.5  timeStamp:2025-03-28 08:08:36:658
ID:9930 SKID:DK0+361  timeStamp:2025-03-28 08:08:36:843
ID:9930 SKID:DK0+362  timeStamp:2025-03-28 08:08:37:27
ID:9930 SKID:DK0+363  timeStamp:2025-03-28 08:08:37:206
ID:9930 SKID:DK0+364.5  timeStamp:2025-03-28 08:08:37:389
ID:9930 SKID:DK0+365.5  timeStamp:2025-03-28 08:08:37:578
ID:9930 SKID:DK0+366.5  timeStamp:2025-03-28 08:08:37:754
ID:9930 SKID:DK0+367.5  timeStamp:2025-03-28 08:08:37:940
ID:9930 SKID:DK0+369  timeStamp:2025-03-28 08:08:38:122
ID:9930 SKID:DK0+370  timeStamp:2025-03-28 08:08:38:299
ID:9930 SKID:DK0+371  timeStamp:2025-03-28 08:08:38:473
ID:9930 SKID:DK0+372.5  timeStamp:2025-03-28 08:08:38:649
ID:9930 SKID:DK0+373.5  timeStamp:2025-03-28 08:08:38:829
ID:9930 SKID:DK0+374.5  timeStamp:2025-03-28 08:08:39:12
ID:9930 SKID:DK0+375.5  timeStamp:2025-03-28 08:08:39:199
ID:9930 SKID:DK0+377  timeStamp:2025-03-28 08:08:39:380
ID:9930 SKID:DK0+378  timeStamp:2025-03-28 08:08:39:559
ID:9930 SKID:DK0+379.5  timeStamp:2025-03-28 08:08:39:743
ID:9930 SKID:DK0+380.5  timeStamp:2025-03-28 08:08:39:926
ID:9930 SKID:DK0+381.5  timeStamp:2025-03-28 08:08:40:115
ID:9930 SKID:DK0+383  timeStamp:2025-03-28 08:08:40:296
ID:9930 SKID:DK0+384  timeStamp:2025-03-28 08:08:40:475
ID:9930 SKID:DK0+385  timeStamp:2025-03-28 08:08:40:647
ID:9930 SKID:DK0+386.5  timeStamp:2025-03-28 08:08:40:822
ID:9930 SKID:DK0+387.5  timeStamp:2025-03-28 08:08:40:997
ID:9930 SKID:DK0+388.5  timeStamp:2025-03-28 08:08:41:177
ID:9930 SKID:DK0+390  timeStamp:2025-03-28 08:08:41:376
ID:9930 SKID:DK0+391  timeStamp:2025-03-28 08:08:41:552
ID:9930 SKID:DK0+392  timeStamp:2025-03-28 08:08:41:716
ID:9930 SKID:DK0+393  timeStamp:2025-03-28 08:08:41:876
ID:9930 SKID:DK0+394.5  timeStamp:2025-03-28 08:08:42:47
ID:9930 SKID:DK0+395.5  timeStamp:2025-03-28 08:08:42:221
ID:9930 SKID:DK0+396.5  timeStamp:2025-03-28 08:08:42:381
ID:9930 SKID:DK0+398  timeStamp:2025-03-28 08:08:42:542
ID:9930 SKID:DK0+399  timeStamp:2025-03-28 08:08:42:702
ID:9930 SKID:DK0+400.5  timeStamp:2025-03-28 08:08:43:161
ID:9930 SKID:DK0+401  timeStamp:2025-03-28 08:08:43:396
ID:9930 SKID:DK0+402.5  timeStamp:2025-03-28 08:08:43:565
ID:9930 SKID:DK0+404  timeStamp:2025-03-28 08:08:43:732
ID:9930 SKID:DK0+405  timeStamp:2025-03-28 08:08:43:902
ID:9930 SKID:DK0+406  timeStamp:2025-03-28 08:08:44:80
ID:9930 SKID:DK0+407.5  timeStamp:2025-03-28 08:08:44:251
ID:9930 SKID:DK0+408.5  timeStamp:2025-03-28 08:08:44:423
ID:9930 SKID:DK0+409.5  timeStamp:2025-03-28 08:08:44:596
ID:9930 SKID:DK0+410.5  timeStamp:2025-03-28 08:08:44:768
ID:9930 SKID:DK0+412  timeStamp:2025-03-28 08:08:44:943
ID:9930 SKID:DK0+413  timeStamp:2025-03-28 08:08:45:121
ID:9930 SKID:DK0+414.5  timeStamp:2025-03-28 08:08:45:299
ID:9930 SKID:DK0+415.5  timeStamp:2025-03-28 08:08:45:472
ID:9930 SKID:DK0+416.5  timeStamp:2025-03-28 08:08:45:649
ID:9930 SKID:DK0+417.5  timeStamp:2025-03-28 08:08:45:819
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:45:989
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:46:163
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:46:338
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:46:511
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:46:688
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:46:870
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:47:40
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:47:213
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:47:395
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:47:562
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:47:734
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:47:902
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:48:87
ID:9930 SKID:DK0+418.5  timeStamp:2025-03-28 08:08:48:274
ID:9930 SKID:K1122+653  timeStamp:2025-03-28 08:08:48:464
ID:9930 SKID:K1122+653  timeStamp:2025-03-28 08:08:48:646
ID:9930 SKID:K1122+653  timeStamp:2025-03-28 08:08:48:838
ID:9930 SKID:K1122+653  timeStamp:2025-03-28 08:08:49:06
ID:9930 SKID:K1122+659  timeStamp:2025-03-28 08:08:49:176
ID:9930 SKID:K1122+659  timeStamp:2025-03-28 08:08:49:356
ID:9930 SKID:K1122+659  timeStamp:2025-03-28 08:08:49:521
ID:9930 SKID:K1122+659  timeStamp:2025-03-28 08:08:49:697
ID:9930 SKID:K1122+659  timeStamp:2025-03-28 08:08:49:867
ID:9930 SKID:K1122+664.5  timeStamp:2025-03-28 08:08:50:47
ID:9930 SKID:K1122+665  timeStamp:2025-03-28 08:08:50:217
ID:9930 SKID:K1122+665  timeStamp:2025-03-28 08:08:50:393
ID:9930 SKID:K1122+665  timeStamp:2025-03-28 08:08:50:575
ID:9930 SKID:K1122+665  timeStamp:2025-03-28 08:08:50:746
ID:9930 SKID:K1122+670.5  timeStamp:2025-03-28 08:08:51:201
ID:9930 SKID:K1122+671  timeStamp:2025-03-28 08:08:51:447
ID:9930 SKID:K1122+671  timeStamp:2025-03-28 08:08:51:618
ID:9930 SKID:K1122+671  timeStamp:2025-03-28 08:08:51:786
ID:9930 SKID:K1122+671  timeStamp:2025-03-28 08:08:51:952
ID:9930 SKID:K1122+676  timeStamp:2025-03-28 08:08:52:123
ID:9930 SKID:K1122+677  timeStamp:2025-03-28 08:08:52:290
ID:9930 SKID:K1122+677  timeStamp:2025-03-28 08:08:52:462
ID:9930 SKID:K1122+677  timeStamp:2025-03-28 08:08:52:639
ID:9930 SKID:K1122+677  timeStamp:2025-03-28 08:08:52:820
ID:9930 SKID:K1122+682  timeStamp:2025-03-28 08:08:53:01
ID:9930 SKID:K1122+683  timeStamp:2025-03-28 08:08:53:190
ID:9930 SKID:K1122+683  timeStamp:2025-03-28 08:08:53:372
ID:9930 SKID:K1122+683  timeStamp:2025-03-28 08:08:53:550
ID:9930 SKID:K1122+683  timeStamp:2025-03-28 08:08:53:736
ID:9930 SKID:K1122+687.5  timeStamp:2025-03-28 08:08:53:928
ID:9930 SKID:K1122+688.5  timeStamp:2025-03-28 08:08:54:113
ID:9930 SKID:K1122+689  timeStamp:2025-03-28 08:08:54:293
ID:9930 SKID:K1122+689  timeStamp:2025-03-28 08:08:54:482
ID:9930 SKID:K1122+689  timeStamp:2025-03-28 08:08:54:667
ID:9930 SKID:K1122+689  timeStamp:2025-03-28 08:08:54:854
ID:9930 SKID:K1122+694.5  timeStamp:2025-03-28 08:08:55:38
ID:9930 SKID:K1122+695  timeStamp:2025-03-28 08:08:55:219
ID:9930 SKID:K1122+695  timeStamp:2025-03-28 08:08:55:410
ID:9930 SKID:K1122+695  timeStamp:2025-03-28 08:08:55:591
ID:9930 SKID:K1122+695  timeStamp:2025-03-28 08:08:55:775
ID:9930 SKID:K1122+700.5  timeStamp:2025-03-28 08:08:55:959
ID:9930 SKID:K1122+701  timeStamp:2025-03-28 08:08:56:142
ID:9930 SKID:K1122+701  timeStamp:2025-03-28 08:08:56:321
ID:9930 SKID:K1122+701  timeStamp:2025-03-28 08:08:56:514
ID:9930 SKID:K1122+701  timeStamp:2025-03-28 08:08:56:696
ID:9930 SKID:K1122+706  timeStamp:2025-03-28 08:08:56:875
ID:9930 SKID:K1122+706.5  timeStamp:2025-03-28 08:08:57:77
ID:9930 SKID:K1122+706.5  timeStamp:2025-03-28 08:08:57:262
ID:9930 SKID:K1122+706.5  timeStamp:2025-03-28 08:08:57:447
ID:9930 SKID:K1122+706.5  timeStamp:2025-03-28 08:08:57:637
ID:9930 SKID:K1122+712  timeStamp:2025-03-28 08:08:57:820
ID:9930 SKID:K1122+712.5  timeStamp:2025-03-28 08:08:57:999
ID:9930 SKID:K1122+712.5  timeStamp:2025-03-28 08:08:58:178
ID:9930 SKID:K1122+712.5  timeStamp:2025-03-28 08:08:58:357
ID:9930 SKID:K1122+712.5  timeStamp:2025-03-28 08:08:58:540
ID:9930 SKID:K1122+717.5  timeStamp:2025-03-28 08:08:58:723
ID:9930 SKID:K1122+718.5  timeStamp:2025-03-28 08:08:58:898
ID:9930 SKID:K1122+718.5  timeStamp:2025-03-28 08:08:59:359
ID:9930 SKID:K1122+718.5  timeStamp:2025-03-28 08:08:59:624
ID:9930 SKID:K1122+718.5  timeStamp:2025-03-28 08:08:59:804
ID:9930 SKID:K1122+723.5  timeStamp:2025-03-28 08:08:59:989
ID:9930 SKID:K1122+724.5  timeStamp:2025-03-28 08:09:00:168
ID:9930 SKID:K1122+724.5  timeStamp:2025-03-28 08:09:00:345
ID:9930 SKID:K1122+724.5  timeStamp:2025-03-28 08:09:00:528
ID:9930 SKID:K1122+724.5  timeStamp:2025-03-28 08:09:00:700
ID:9930 SKID:K1122+729.5  timeStamp:2025-03-28 08:09:00:876
ID:9930 SKID:K1122+730.5  timeStamp:2025-03-28 08:09:01:50
ID:9930 SKID:K1122+730.5  timeStamp:2025-03-28 08:09:01:226
ID:9930 SKID:K1122+730.5  timeStamp:2025-03-28 08:09:01:410
ID:9930 SKID:K1122+730.5  timeStamp:2025-03-28 08:09:01:587
ID:9930 SKID:K1122+735  timeStamp:2025-03-28 08:09:01:764
ID:9930 SKID:K1122+736  timeStamp:2025-03-28 08:09:01:967
ID:9930 SKID:K1122+736.5  timeStamp:2025-03-28 08:09:02:144
ID:9930 SKID:K1122+736.5  timeStamp:2025-03-28 08:09:02:330
ID:9930 SKID:K1122+736.5  timeStamp:2025-03-28 08:09:02:506
ID:9930 SKID:K1122+741  timeStamp:2025-03-28 08:09:02:693
ID:9930 SKID:K1122+742  timeStamp:2025-03-28 08:09:02:872
ID:9930 SKID:K1122+742.5  timeStamp:2025-03-28 08:09:03:57
ID:9930 SKID:K1122+742.5  timeStamp:2025-03-28 08:09:03:240
ID:9930 SKID:K1122+742.5  timeStamp:2025-03-28 08:09:03:417
ID:9930 SKID:K1122+742.5  timeStamp:2025-03-28 08:09:03:599
ID:9930 SKID:K1122+747.5  timeStamp:2025-03-28 08:09:03:776
ID:9930 SKID:K1122+748.5  timeStamp:2025-03-28 08:09:03:963
ID:9930 SKID:K1122+748.5  timeStamp:2025-03-28 08:09:04:145
ID:9930 SKID:K1122+748.5  timeStamp:2025-03-28 08:09:04:327
ID:9930 SKID:K1122+748.5  timeStamp:2025-03-28 08:09:04:511
ID:9930 SKID:K1122+753.5  timeStamp:2025-03-28 08:09:04:695
ID:9930 SKID:K1122+754.5  timeStamp:2025-03-28 08:09:04:891
ID:9930 SKID:K1122+754.5  timeStamp:2025-03-28 08:09:05:73
ID:9930 SKID:K1122+754.5  timeStamp:2025-03-28 08:09:05:249
ID:9930 SKID:K1122+754.5  timeStamp:2025-03-28 08:09:05:430
ID:9930 SKID:K1122+759  timeStamp:2025-03-28 08:09:05:618
ID:9930 SKID:K1122+760  timeStamp:2025-03-28 08:09:05:802
ID:9930 SKID:K1122+760  timeStamp:2025-03-28 08:09:06:163
ID:9930 SKID:K1122+760  timeStamp:2025-03-28 08:09:05:989
ID:9930 SKID:K1122+760  timeStamp:2025-03-28 08:09:06:331
ID:9930 SKID:K1122+765  timeStamp:2025-03-28 08:09:06:499
ID:9930 SKID:K1122+766  timeStamp:2025-03-28 08:09:06:672
ID:9930 SKID:K1122+766  timeStamp:2025-03-28 08:09:06:850
ID:9930 SKID:K1122+766  timeStamp:2025-03-28 08:09:07:31
ID:9930 SKID:K1122+766  timeStamp:2025-03-28 08:09:07:205
ID:9930 SKID:K1122+771  timeStamp:2025-03-28 08:09:07:679
ID:9930 SKID:K1122+772  timeStamp:2025-03-28 08:09:07:916
ID:9930 SKID:K1122+772  timeStamp:2025-03-28 08:09:08:86
ID:9930 SKID:K1122+772  timeStamp:2025-03-28 08:09:08:254
ID:9930 SKID:K1122+772  timeStamp:2025-03-28 08:09:08:421
ID:9930 SKID:K1122+776.5  timeStamp:2025-03-28 08:09:08:591
ID:9930 SKID:K1122+777.5  timeStamp:2025-03-28 08:09:08:764
ID:9930 SKID:K1122+778  timeStamp:2025-03-28 08:09:08:938
ID:9930 SKID:K1122+778  timeStamp:2025-03-28 08:09:09:107
ID:9930 SKID:K1122+778  timeStamp:2025-03-28 08:09:09:294
ID:9930 SKID:K1122+782.5  timeStamp:2025-03-28 08:09:09:468
ID:9930 SKID:K1122+783.5  timeStamp:2025-03-28 08:09:09:637
ID:9930 SKID:K1122+784  timeStamp:2025-03-28 08:09:09:814
ID:9930 SKID:K1122+784  timeStamp:2025-03-28 08:09:09:986
ID:9930 SKID:K1122+784  timeStamp:2025-03-28 08:09:10:155
ID:9930 SKID:K1122+788  timeStamp:2025-03-28 08:09:10:324
ID:9930 SKID:K1122+789  timeStamp:2025-03-28 08:09:10:502
ID:9930 SKID:K1122+790  timeStamp:2025-03-28 08:09:10:675
ID:9930 SKID:K1122+790  timeStamp:2025-03-28 08:09:10:852
ID:9930 SKID:K1122+790  timeStamp:2025-03-28 08:09:11:34
ID:9930 SKID:K1122+790  timeStamp:2025-03-28 08:09:11:206
ID:9930 SKID:K1122+795  timeStamp:2025-03-28 08:09:11:374
ID:9930 SKID:K1122+796  timeStamp:2025-03-28 08:09:11:545
ID:9930 SKID:K1122+796  timeStamp:2025-03-28 08:09:11:712
ID:9930 SKID:K1122+796  timeStamp:2025-03-28 08:09:11:883
ID:9930 SKID:K1122+796  timeStamp:2025-03-28 08:09:12:51
ID:9930 SKID:K1122+801  timeStamp:2025-03-28 08:09:12:222
ID:9930 SKID:K1122+802  timeStamp:2025-03-28 08:09:12:392
ID:9930 SKID:K1122+802  timeStamp:2025-03-28 08:09:12:561
ID:9930 SKID:K1122+802  timeStamp:2025-03-28 08:09:12:728
ID:9930 SKID:K1122+802  timeStamp:2025-03-28 08:09:12:894
ID:9930 SKID:K1122+806.5  timeStamp:2025-03-28 08:09:13:61
ID:9930 SKID:K1122+808  timeStamp:2025-03-28 08:09:13:226
ID:9930 SKID:K1122+808  timeStamp:2025-03-28 08:09:13:398
ID:9930 SKID:K1122+808  timeStamp:2025-03-28 08:09:13:561
ID:9930 SKID:K1122+808  timeStamp:2025-03-28 08:09:13:721
ID:9930 SKID:K1122+812.5  timeStamp:2025-03-28 08:09:13:886
ID:9930 SKID:K1122+813.5  timeStamp:2025-03-28 08:09:14:51
ID:9930 SKID:K1122+813.5  timeStamp:2025-03-28 08:09:14:218
ID:9930 SKID:K1122+813.5  timeStamp:2025-03-28 08:09:14:378
ID:9930 SKID:K1122+813.5  timeStamp:2025-03-28 08:09:14:537
ID:9930 SKID:K1122+818.5  timeStamp:2025-03-28 08:09:14:693
ID:9930 SKID:K1122+819.5  timeStamp:2025-03-28 08:09:14:857
ID:9930 SKID:K1122+819.5  timeStamp:2025-03-28 08:09:15:16
ID:9930 SKID:K1122+819.5  timeStamp:2025-03-28 08:09:15:459
ID:9930 SKID:K1122+819.5  timeStamp:2025-03-28 08:09:15:691
ID:9930 SKID:K1122+824  timeStamp:2025-03-28 08:09:15:864
ID:9930 SKID:K1122+825  timeStamp:2025-03-28 08:09:16:31
ID:9930 SKID:K1122+825.5  timeStamp:2025-03-28 08:09:16:195
ID:9930 SKID:K1122+825.5  timeStamp:2025-03-28 08:09:16:358
ID:9930 SKID:K1122+825.5  timeStamp:2025-03-28 08:09:16:519
ID:9930 SKID:K1122+830  timeStamp:2025-03-28 08:09:16:689
ID:9930 SKID:K1122+831  timeStamp:2025-03-28 08:09:16:871
ID:9930 SKID:K1122+831.5  timeStamp:2025-03-28 08:09:17:34
ID:9930 SKID:K1122+831.5  timeStamp:2025-03-28 08:09:17:192
ID:9930 SKID:K1122+831.5  timeStamp:2025-03-28 08:09:17:351
ID:9930 SKID:K1122+835.5  timeStamp:2025-03-28 08:09:17:509
ID:9930 SKID:K1122+837  timeStamp:2025-03-28 08:09:17:668
ID:9930 SKID:K1122+837.5  timeStamp:2025-03-28 08:09:17:842
ID:9930 SKID:K1122+837.5  timeStamp:2025-03-28 08:09:18:08
ID:9930 SKID:K1122+837.5  timeStamp:2025-03-28 08:09:18:169
ID:9930 SKID:K1122+837.5  timeStamp:2025-03-28 08:09:18:335
ID:9930 SKID:K1122+842.5  timeStamp:2025-03-28 08:09:18:491
ID:9930 SKID:K1122+843.5  timeStamp:2025-03-28 08:09:18:653
ID:9930 SKID:K1122+843.5  timeStamp:2025-03-28 08:09:18:819
ID:9930 SKID:K1122+843.5  timeStamp:2025-03-28 08:09:18:991
ID:9930 SKID:K1122+843.5  timeStamp:2025-03-28 08:09:19:151
ID:9930 SKID:K1122+848.5  timeStamp:2025-03-28 08:09:19:323
ID:9930 SKID:K1122+849.5  timeStamp:2025-03-28 08:09:19:484
ID:9930 SKID:K1122+849.5  timeStamp:2025-03-28 08:09:19:646
ID:9930 SKID:K1122+849.5  timeStamp:2025-03-28 08:09:19:805
ID:9930 SKID:K1122+849.5  timeStamp:2025-03-28 08:09:19:970
ID:9930 SKID:K1122+854.5  timeStamp:2025-03-28 08:09:20:130
ID:9930 SKID:K1122+855.5  timeStamp:2025-03-28 08:09:20:290
ID:9930 SKID:K1122+855.5  timeStamp:2025-03-28 08:09:20:449
ID:9930 SKID:K1122+855.5  timeStamp:2025-03-28 08:09:20:602
ID:9930 SKID:K1122+855.5  timeStamp:2025-03-28 08:09:20:751
ID:9930 SKID:K1122+860  timeStamp:2025-03-28 08:09:20:905
ID:9930 SKID:K1122+861  timeStamp:2025-03-28 08:09:21:61
ID:9930 SKID:K1122+861.5  timeStamp:2025-03-28 08:09:21:216
ID:9930 SKID:K1122+861.5  timeStamp:2025-03-28 08:09:21:367
ID:9930 SKID:K1122+861.5  timeStamp:2025-03-28 08:09:21:519
ID:9930 SKID:K1122+865.5  timeStamp:2025-03-28 08:09:21:670
ID:9930 SKID:K1122+867  timeStamp:2025-03-28 08:09:21:816
ID:9930 SKID:K1122+867.5  timeStamp:2025-03-28 08:09:21:972
ID:9930 SKID:K1122+867.5  timeStamp:2025-03-28 08:09:22:120
ID:9930 SKID:K1122+867.5  timeStamp:2025-03-28 08:09:22:273
ID:9930 SKID:K1122+871.5  timeStamp:2025-03-28 08:09:22:434
ID:9930 SKID:K1122+873  timeStamp:2025-03-28 08:09:22:588
ID:9930 SKID:K1122+873  timeStamp:2025-03-28 08:09:22:990
ID:9930 SKID:K1122+873  timeStamp:2025-03-28 08:09:23:238
ID:9930 SKID:K1122+873  timeStamp:2025-03-28 08:09:23:398
ID:9930 SKID:K1122+877.5  timeStamp:2025-03-28 08:09:23:556
ID:9930 SKID:K1122+878.5  timeStamp:2025-03-28 08:09:23:716
ID:9930 SKID:K1122+879  timeStamp:2025-03-28 08:09:23:875
ID:9930 SKID:K1122+879  timeStamp:2025-03-28 08:09:24:39
ID:9930 SKID:K1122+879  timeStamp:2025-03-28 08:09:24:197
ID:9930 SKID:K1122+883  timeStamp:2025-03-28 08:09:24:352
ID:9930 SKID:K1122+884.5  timeStamp:2025-03-28 08:09:24:509
ID:9930 SKID:K1122+885  timeStamp:2025-03-28 08:09:24:677
ID:9930 SKID:K1122+885  timeStamp:2025-03-28 08:09:24:832
ID:9930 SKID:K1122+885  timeStamp:2025-03-28 08:09:24:995
ID:9930 SKID:K1122+889  timeStamp:2025-03-28 08:09:25:150
ID:9930 SKID:K1122+890  timeStamp:2025-03-28 08:09:25:307
ID:9930 SKID:K1122+891  timeStamp:2025-03-28 08:09:25:468
ID:9930 SKID:K1122+891  timeStamp:2025-03-28 08:09:25:626
ID:9930 SKID:K1122+891  timeStamp:2025-03-28 08:09:25:779
ID:9930 SKID:K1122+894.5  timeStamp:2025-03-28 08:09:25:935
ID:9930 SKID:K1122+896  timeStamp:2025-03-28 08:09:26:93
ID:9930 SKID:K1122+897  timeStamp:2025-03-28 08:09:26:252
ID:9930 SKID:K1122+897  timeStamp:2025-03-28 08:09:26:407
ID:9930 SKID:K1122+897  timeStamp:2025-03-28 08:09:26:570
ID:9930 SKID:K1122+897  timeStamp:2025-03-28 08:09:26:735
ID:9930 SKID:K1122+901.5  timeStamp:2025-03-28 08:09:26:900
ID:9930 SKID:K1122+903  timeStamp:2025-03-28 08:09:27:60
ID:9930 SKID:K1122+903  timeStamp:2025-03-28 08:09:27:239
ID:9930 SKID:K1122+903  timeStamp:2025-03-28 08:09:27:416
ID:9930 SKID:K1122+903  timeStamp:2025-03-28 08:09:27:599
ID:9930 SKID:K1122+907  timeStamp:2025-03-28 08:09:27:783
ID:9930 SKID:K1122+908.5  timeStamp:2025-03-28 08:09:27:961
ID:9930 SKID:K1122+909  timeStamp:2025-03-28 08:09:28:145
ID:9930 SKID:K1122+909  timeStamp:2025-03-28 08:09:28:353
ID:9930 SKID:K1122+909  timeStamp:2025-03-28 08:09:28:556
ID:9930 SKID:K1122+913  timeStamp:2025-03-28 08:09:28:739
ID:9930 SKID:K1122+914  timeStamp:2025-03-28 08:09:28:918
ID:9930 SKID:K1122+915  timeStamp:2025-03-28 08:09:29:96
ID:9930 SKID:K1122+915  timeStamp:2025-03-28 08:09:29:270
ID:9930 SKID:K1122+915  timeStamp:2025-03-28 08:09:29:444
ID:9930 SKID:K1122+918.5  timeStamp:2025-03-28 08:09:29:617
ID:9930 SKID:K1122+920  timeStamp:2025-03-28 08:09:29:792
ID:9930 SKID:K1122+921  timeStamp:2025-03-28 08:09:29:974
ID:9930 SKID:K1122+921  timeStamp:2025-03-28 08:09:30:176
ID:9930 SKID:K1122+921  timeStamp:2025-03-28 08:09:30:354
ID:9930 SKID:K1122+924.5  timeStamp:2025-03-28 08:09:30:788
ID:9930 SKID:K1122+925.5  timeStamp:2025-03-28 08:09:31:39
ID:9930 SKID:K1122+926.5  timeStamp:2025-03-28 08:09:31:218
ID:9930 SKID:K1122+926.5  timeStamp:2025-03-28 08:09:31:402
ID:9930 SKID:K1122+926.5  timeStamp:2025-03-28 08:09:31:577
