ID:9948 SKID:BK0+207.5  timeStamp:2025-03-28 08:08:24:557
ID:9948 SKID:BK0+259  timeStamp:2025-03-28 08:08:32:494
ID:9948 SKID:BK0+260.5  timeStamp:2025-03-28 08:08:32:660
ID:9948 SKID:BK0+262  timeStamp:2025-03-28 08:08:32:827
ID:9948 SKID:BK0+263  timeStamp:2025-03-28 08:08:32:998
ID:9948 SKID:BK0+264.5  timeStamp:2025-03-28 08:08:33:167
ID:9948 SKID:BK0+266  timeStamp:2025-03-28 08:08:33:341
ID:9948 SKID:BK0+267  timeStamp:2025-03-28 08:08:33:505
ID:9948 SKID:BK0+268  timeStamp:2025-03-28 08:08:33:693
ID:9948 SKID:BK0+269.5  timeStamp:2025-03-28 08:08:33:875
ID:9948 SKID:BK0+271  timeStamp:2025-03-28 08:08:34:54
ID:9948 SKID:BK0+271.5  timeStamp:2025-03-28 08:08:34:251
ID:9948 SKID:BK0+273  timeStamp:2025-03-28 08:08:34:431
ID:9948 SKID:BK0+274.5  timeStamp:2025-03-28 08:08:34:942
ID:9948 SKID:BK0+276  timeStamp:2025-03-28 08:08:35:200
ID:9948 SKID:BK0+276.5  timeStamp:2025-03-28 08:08:35:376
ID:9948 SKID:BK0+278  timeStamp:2025-03-28 08:08:35:551
ID:9948 SKID:BK0+279.5  timeStamp:2025-03-28 08:08:35:725
ID:9948 SKID:BK0+280.5  timeStamp:2025-03-28 08:08:35:909
ID:9948 SKID:BK0+282  timeStamp:2025-03-28 08:08:36:102
ID:9948 SKID:BK0+283.5  timeStamp:2025-03-28 08:08:36:291
ID:9948 SKID:BK0+284  timeStamp:2025-03-28 08:08:36:473
ID:9948 SKID:BK0+285.5  timeStamp:2025-03-28 08:08:36:658
ID:9948 SKID:BK0+287  timeStamp:2025-03-28 08:08:36:843
ID:9948 SKID:BK0+288.5  timeStamp:2025-03-28 08:08:37:27
ID:9948 SKID:BK0+289  timeStamp:2025-03-28 08:08:37:206
ID:9948 SKID:BK0+290.5  timeStamp:2025-03-28 08:08:37:389
ID:9948 SKID:BK0+292  timeStamp:2025-03-28 08:08:37:578
ID:9948 SKID:BK0+293.5  timeStamp:2025-03-28 08:08:37:754
ID:9948 SKID:BK0+294  timeStamp:2025-03-28 08:08:37:940
ID:9948 SKID:BK0+295.5  timeStamp:2025-03-28 08:08:38:122
ID:9948 SKID:BK0+297  timeStamp:2025-03-28 08:08:38:299
ID:9948 SKID:BK0+298  timeStamp:2025-03-28 08:08:38:473
ID:9948 SKID:BK0+299.5  timeStamp:2025-03-28 08:08:38:649
ID:9948 SKID:BK0+301  timeStamp:2025-03-28 08:08:38:829
ID:9948 SKID:BK0+301.5  timeStamp:2025-03-28 08:08:39:12
ID:9948 SKID:BK0+303  timeStamp:2025-03-28 08:08:39:199
ID:9948 SKID:BK0+304.5  timeStamp:2025-03-28 08:08:39:380
ID:9948 SKID:BK0+306  timeStamp:2025-03-28 08:08:39:559
ID:9948 SKID:BK0+306.5  timeStamp:2025-03-28 08:08:39:743
ID:9948 SKID:BK0+308  timeStamp:2025-03-28 08:08:39:926
ID:9948 SKID:BK0+309.5  timeStamp:2025-03-28 08:08:40:115
ID:9948 SKID:BK0+310.5  timeStamp:2025-03-28 08:08:40:296
ID:9948 SKID:BK0+311.5  timeStamp:2025-03-28 08:08:40:475
ID:9948 SKID:BK0+313  timeStamp:2025-03-28 08:08:40:647
ID:9948 SKID:BK0+314.5  timeStamp:2025-03-28 08:08:40:822
ID:9948 SKID:BK0+315.5  timeStamp:2025-03-28 08:08:40:997
ID:9948 SKID:BK0+317  timeStamp:2025-03-28 08:08:41:177
ID:9948 SKID:BK0+318.5  timeStamp:2025-03-28 08:08:41:376
ID:9948 SKID:BK0+319  timeStamp:2025-03-28 08:08:41:552
ID:9948 SKID:BK0+320.5  timeStamp:2025-03-28 08:08:41:716
ID:9948 SKID:BK0+322  timeStamp:2025-03-28 08:08:41:876
ID:9948 SKID:BK0+323.5  timeStamp:2025-03-28 08:08:42:47
ID:9948 SKID:BK0+324  timeStamp:2025-03-28 08:08:42:221
ID:9948 SKID:BK0+325.5  timeStamp:2025-03-28 08:08:42:381
ID:9948 SKID:BK0+327  timeStamp:2025-03-28 08:08:42:542
ID:9948 SKID:BK0+328  timeStamp:2025-03-28 08:08:42:702
ID:9948 SKID:BK0+329  timeStamp:2025-03-28 08:08:43:161
ID:9948 SKID:BK0+330.5  timeStamp:2025-03-28 08:08:43:396
ID:9948 SKID:BK0+331.5  timeStamp:2025-03-28 08:08:43:565
ID:9948 SKID:BK0+333  timeStamp:2025-03-28 08:08:43:732
ID:9948 SKID:BK0+334.5  timeStamp:2025-03-28 08:08:43:902
ID:9948 SKID:BK0+336  timeStamp:2025-03-28 08:08:44:80
ID:9948 SKID:BK0+336.5  timeStamp:2025-03-28 08:08:44:251
ID:9948 SKID:BK0+338  timeStamp:2025-03-28 08:08:44:423
ID:9948 SKID:BK0+339.5  timeStamp:2025-03-28 08:08:44:596
ID:9948 SKID:BK0+340  timeStamp:2025-03-28 08:08:44:768
ID:9948 SKID:BK0+341.5  timeStamp:2025-03-28 08:08:44:943
ID:9948 SKID:BK0+343  timeStamp:2025-03-28 08:08:45:121
ID:9948 SKID:BK0+344  timeStamp:2025-03-28 08:08:45:299
ID:9948 SKID:BK0+345.5  timeStamp:2025-03-28 08:08:45:472
ID:9948 SKID:BK0+346.5  timeStamp:2025-03-28 08:08:45:649
ID:9948 SKID:BK0+348  timeStamp:2025-03-28 08:08:45:819
ID:9948 SKID:BK0+349  timeStamp:2025-03-28 08:08:45:989
ID:9948 SKID:BK0+350.5  timeStamp:2025-03-28 08:08:46:163
ID:9948 SKID:BK0+352  timeStamp:2025-03-28 08:08:46:338
ID:9948 SKID:BK0+352.5  timeStamp:2025-03-28 08:08:46:511
ID:9948 SKID:BK0+354  timeStamp:2025-03-28 08:08:46:688
ID:9948 SKID:BK0+355.5  timeStamp:2025-03-28 08:08:46:870
ID:9948 SKID:BK0+356  timeStamp:2025-03-28 08:08:47:40
ID:9948 SKID:BK0+357.5  timeStamp:2025-03-28 08:08:47:213
ID:9948 SKID:BK0+359  timeStamp:2025-03-28 08:08:47:395
ID:9948 SKID:BK0+360.5  timeStamp:2025-03-28 08:08:47:562
ID:9948 SKID:BK0+361.5  timeStamp:2025-03-28 08:08:47:734
ID:9948 SKID:BK0+363  timeStamp:2025-03-28 08:08:47:902
ID:9948 SKID:BK0+364  timeStamp:2025-03-28 08:08:48:87
ID:9948 SKID:BK0+365  timeStamp:2025-03-28 08:08:48:274
ID:9948 SKID:BK0+366.5  timeStamp:2025-03-28 08:08:48:464
ID:9948 SKID:BK0+368  timeStamp:2025-03-28 08:08:48:646
ID:9948 SKID:BK0+369.5  timeStamp:2025-03-28 08:08:48:838
ID:9948 SKID:BK0+370  timeStamp:2025-03-28 08:08:49:06
ID:9948 SKID:BK0+373  timeStamp:2025-03-28 08:08:49:356
ID:9948 SKID:BK0+371.5  timeStamp:2025-03-28 08:08:49:176
ID:9948 SKID:BK0+373.5  timeStamp:2025-03-28 08:08:49:521
ID:9948 SKID:BK0+375  timeStamp:2025-03-28 08:08:49:697
ID:9948 SKID:BK0+376.5  timeStamp:2025-03-28 08:08:49:867
ID:9948 SKID:BK0+378  timeStamp:2025-03-28 08:08:50:47
ID:9948 SKID:BK0+379  timeStamp:2025-03-28 08:08:50:217
ID:9948 SKID:BK0+380.5  timeStamp:2025-03-28 08:08:50:393
ID:9948 SKID:BK0+382  timeStamp:2025-03-28 08:08:50:575
ID:9948 SKID:BK0+382.5  timeStamp:2025-03-28 08:08:50:746
ID:9948 SKID:BK0+384  timeStamp:2025-03-28 08:08:51:201
ID:9948 SKID:BK0+385.5  timeStamp:2025-03-28 08:08:51:447
ID:9948 SKID:BK0+386  timeStamp:2025-03-28 08:08:51:618
ID:9948 SKID:BK0+387.5  timeStamp:2025-03-28 08:08:51:786
ID:9948 SKID:BK0+389  timeStamp:2025-03-28 08:08:51:952
ID:9948 SKID:BK0+390  timeStamp:2025-03-28 08:08:52:123
ID:9948 SKID:BK0+391.5  timeStamp:2025-03-28 08:08:52:290
ID:9948 SKID:BK0+393  timeStamp:2025-03-28 08:08:52:462
ID:9948 SKID:BK0+394.5  timeStamp:2025-03-28 08:08:52:639
ID:9948 SKID:BK0+395  timeStamp:2025-03-28 08:08:52:820
ID:9948 SKID:BK0+396.5  timeStamp:2025-03-28 08:08:53:01
ID:9948 SKID:BK0+398  timeStamp:2025-03-28 08:08:53:190
ID:9948 SKID:BK0+399.5  timeStamp:2025-03-28 08:08:53:372
ID:9948 SKID:BK0+400  timeStamp:2025-03-28 08:08:53:550
ID:9948 SKID:BK0+401.5  timeStamp:2025-03-28 08:08:53:736
ID:9948 SKID:BK0+403  timeStamp:2025-03-28 08:08:53:928
ID:9948 SKID:BK0+404  timeStamp:2025-03-28 08:08:54:113
ID:9948 SKID:BK0+405.5  timeStamp:2025-03-28 08:08:54:293
ID:9948 SKID:BK0+407  timeStamp:2025-03-28 08:08:54:482
ID:9948 SKID:BK0+407.5  timeStamp:2025-03-28 08:08:54:667
ID:9948 SKID:BK0+409  timeStamp:2025-03-28 08:08:54:854
ID:9948 SKID:BK0+410.5  timeStamp:2025-03-28 08:08:55:38
ID:9948 SKID:BK0+412  timeStamp:2025-03-28 08:08:55:219
ID:9948 SKID:BK0+412.5  timeStamp:2025-03-28 08:08:55:410
ID:9948 SKID:BK0+414  timeStamp:2025-03-28 08:08:55:591
ID:9948 SKID:BK0+415.5  timeStamp:2025-03-28 08:08:55:775
ID:9948 SKID:BK0+416.5  timeStamp:2025-03-28 08:08:55:959
ID:9948 SKID:BK0+418  timeStamp:2025-03-28 08:08:56:142
ID:9948 SKID:BK0+419.5  timeStamp:2025-03-28 08:08:56:321
ID:9948 SKID:BK0+420  timeStamp:2025-03-28 08:08:56:514
ID:9948 SKID:BK0+422  timeStamp:2025-03-28 08:08:56:696
ID:9948 SKID:BK0+423  timeStamp:2025-03-28 08:08:56:875
ID:9948 SKID:BK0+424  timeStamp:2025-03-28 08:08:57:77
ID:9948 SKID:BK0+425.5  timeStamp:2025-03-28 08:08:57:262
ID:9948 SKID:BK0+427  timeStamp:2025-03-28 08:08:57:447
ID:9948 SKID:BK0+428  timeStamp:2025-03-28 08:08:57:637
ID:9948 SKID:BK0+429  timeStamp:2025-03-28 08:08:57:820
ID:9948 SKID:BK0+431  timeStamp:2025-03-28 08:08:57:999
ID:9948 SKID:BK0+431.5  timeStamp:2025-03-28 08:08:58:178
ID:9948 SKID:BK0+433  timeStamp:2025-03-28 08:08:58:357
ID:9948 SKID:BK0+434.5  timeStamp:2025-03-28 08:08:58:540
ID:9948 SKID:BK0+435.5  timeStamp:2025-03-28 08:08:58:723
ID:9948 SKID:BK0+437  timeStamp:2025-03-28 08:08:58:898
ID:9948 SKID:BK0+437.5  timeStamp:2025-03-28 08:08:59:359
ID:9948 SKID:BK0+439  timeStamp:2025-03-28 08:08:59:624
ID:9948 SKID:BK0+440.5  timeStamp:2025-03-28 08:08:59:804
ID:9948 SKID:BK0+441.5  timeStamp:2025-03-28 08:08:59:989
ID:9948 SKID:BK0+443  timeStamp:2025-03-28 08:09:00:168
ID:9948 SKID:BK0+444.5  timeStamp:2025-03-28 08:09:00:345
ID:9948 SKID:BK0+445.5  timeStamp:2025-03-28 08:09:00:528
ID:9948 SKID:BK0+447  timeStamp:2025-03-28 08:09:00:700
ID:9948 SKID:BK0+448.5  timeStamp:2025-03-28 08:09:00:876
ID:9948 SKID:BK0+449.5  timeStamp:2025-03-28 08:09:01:50
ID:9948 SKID:BK0+451  timeStamp:2025-03-28 08:09:01:226
ID:9948 SKID:BK0+451.5  timeStamp:2025-03-28 08:09:01:410
ID:9948 SKID:BK0+453.5  timeStamp:2025-03-28 08:09:01:587
ID:9948 SKID:BK0+454.5  timeStamp:2025-03-28 08:09:01:764
ID:9948 SKID:BK0+455.5  timeStamp:2025-03-28 08:09:01:967
ID:9948 SKID:BK0+457  timeStamp:2025-03-28 08:09:02:144
ID:9948 SKID:BK0+458  timeStamp:2025-03-28 08:09:02:330
ID:9948 SKID:BK0+459.5  timeStamp:2025-03-28 08:09:02:506
ID:9948 SKID:BK0+461  timeStamp:2025-03-28 08:09:02:693
ID:9948 SKID:BK0+462  timeStamp:2025-03-28 08:09:02:872
ID:9948 SKID:BK0+463.5  timeStamp:2025-03-28 08:09:03:57
ID:9948 SKID:BK0+464.5  timeStamp:2025-03-28 08:09:03:240
ID:9948 SKID:BK0+466  timeStamp:2025-03-28 08:09:03:417
ID:9948 SKID:BK0+467  timeStamp:2025-03-28 08:09:03:599
ID:9948 SKID:BK0+468  timeStamp:2025-03-28 08:09:03:776
ID:9948 SKID:BK0+469.5  timeStamp:2025-03-28 08:09:03:963
ID:9948 SKID:BK0+470.5  timeStamp:2025-03-28 08:09:04:145
ID:9948 SKID:BK0+472  timeStamp:2025-03-28 08:09:04:327
ID:9948 SKID:BK0+473.5  timeStamp:2025-03-28 08:09:04:511
ID:9948 SKID:BK0+474  timeStamp:2025-03-28 08:09:04:695
ID:9948 SKID:BK0+475.5  timeStamp:2025-03-28 08:09:04:891
ID:9948 SKID:BK0+477  timeStamp:2025-03-28 08:09:05:73
ID:9948 SKID:BK0+478.5  timeStamp:2025-03-28 08:09:05:249
ID:9948 SKID:BK0+479.5  timeStamp:2025-03-28 08:09:05:430
ID:9948 SKID:BK0+480.5  timeStamp:2025-03-28 08:09:05:618
ID:9948 SKID:BK0+482  timeStamp:2025-03-28 08:09:05:802
ID:9948 SKID:BK0+484.5  timeStamp:2025-03-28 08:09:06:163
ID:9948 SKID:BK0+483.5  timeStamp:2025-03-28 08:09:05:989
ID:9948 SKID:BK0+486  timeStamp:2025-03-28 08:09:06:331
ID:9948 SKID:BK0+487  timeStamp:2025-03-28 08:09:06:499
ID:9948 SKID:BK0+488.5  timeStamp:2025-03-28 08:09:06:672
ID:9948 SKID:BK0+489.5  timeStamp:2025-03-28 08:09:06:850
ID:9948 SKID:BK0+490.5  timeStamp:2025-03-28 08:09:07:31
ID:9948 SKID:BK0+492  timeStamp:2025-03-28 08:09:07:205
ID:9948 SKID:BK0+493.5  timeStamp:2025-03-28 08:09:07:679
ID:9948 SKID:BK0+494.5  timeStamp:2025-03-28 08:09:07:916
ID:9948 SKID:BK0+496  timeStamp:2025-03-28 08:09:08:86
ID:9948 SKID:BK0+497  timeStamp:2025-03-28 08:09:08:254
ID:9948 SKID:BK0+498  timeStamp:2025-03-28 08:09:08:421
ID:9948 SKID:BK0+499.5  timeStamp:2025-03-28 08:09:08:591
ID:9948 SKID:BK0+501  timeStamp:2025-03-28 08:09:08:764
ID:9948 SKID:BK0+502  timeStamp:2025-03-28 08:09:08:938
ID:9948 SKID:BK0+503  timeStamp:2025-03-28 08:09:09:107
ID:9948 SKID:BK0+504.5  timeStamp:2025-03-28 08:09:09:294
ID:9948 SKID:BK0+506  timeStamp:2025-03-28 08:09:09:468
ID:9948 SKID:BK0+507  timeStamp:2025-03-28 08:09:09:637
ID:9948 SKID:BK0+508.5  timeStamp:2025-03-28 08:09:09:814
ID:9948 SKID:BK0+509.5  timeStamp:2025-03-28 08:09:09:986
ID:9948 SKID:BK0+511  timeStamp:2025-03-28 08:09:10:155
ID:9948 SKID:BK0+512  timeStamp:2025-03-28 08:09:10:324
ID:9948 SKID:BK0+513.5  timeStamp:2025-03-28 08:09:10:502
ID:9948 SKID:BK0+514.5  timeStamp:2025-03-28 08:09:10:675
ID:9948 SKID:BK0+516  timeStamp:2025-03-28 08:09:10:852
ID:9948 SKID:BK0+517  timeStamp:2025-03-28 08:09:11:34
ID:9948 SKID:BK0+518  timeStamp:2025-03-28 08:09:11:206
ID:9948 SKID:BK0+520  timeStamp:2025-03-28 08:09:11:374
ID:9948 SKID:BK0+521  timeStamp:2025-03-28 08:09:11:545
ID:9948 SKID:BK0+522  timeStamp:2025-03-28 08:09:11:712
ID:9948 SKID:BK0+523.5  timeStamp:2025-03-28 08:09:11:883
ID:9948 SKID:BK0+524.5  timeStamp:2025-03-28 08:09:12:51
ID:9948 SKID:BK0+526  timeStamp:2025-03-28 08:09:12:222
ID:9948 SKID:BK0+527  timeStamp:2025-03-28 08:09:12:392
ID:9948 SKID:BK0+528.5  timeStamp:2025-03-28 08:09:12:561
ID:9948 SKID:BK0+529.5  timeStamp:2025-03-28 08:09:12:728
ID:9948 SKID:BK0+531  timeStamp:2025-03-28 08:09:12:894
ID:9948 SKID:BK0+532  timeStamp:2025-03-28 08:09:13:61
ID:9948 SKID:BK0+533.5  timeStamp:2025-03-28 08:09:13:226
ID:9948 SKID:BK0+535  timeStamp:2025-03-28 08:09:13:398
ID:9948 SKID:BK0+536  timeStamp:2025-03-28 08:09:13:561
ID:9948 SKID:BK0+537  timeStamp:2025-03-28 08:09:13:721
ID:9948 SKID:BK0+538.5  timeStamp:2025-03-28 08:09:13:886
ID:9948 SKID:BK0+540  timeStamp:2025-03-28 08:09:14:51
ID:9948 SKID:BK0+541  timeStamp:2025-03-28 08:09:14:218
ID:9948 SKID:BK0+542  timeStamp:2025-03-28 08:09:14:378
ID:9948 SKID:BK0+543.5  timeStamp:2025-03-28 08:09:14:537
ID:9948 SKID:BK0+545  timeStamp:2025-03-28 08:09:14:693
ID:9948 SKID:BK0+546  timeStamp:2025-03-28 08:09:14:857
ID:9948 SKID:BK0+547  timeStamp:2025-03-28 08:09:15:16
ID:9948 SKID:BK0+548.5  timeStamp:2025-03-28 08:09:15:459
ID:9948 SKID:BK0+549.5  timeStamp:2025-03-28 08:09:15:691
ID:9948 SKID:BK0+551  timeStamp:2025-03-28 08:09:15:864
ID:9948 SKID:BK0+552.5  timeStamp:2025-03-28 08:09:16:31
ID:9948 SKID:BK0+553.5  timeStamp:2025-03-28 08:09:16:195
ID:9948 SKID:BK0+554.5  timeStamp:2025-03-28 08:09:16:358
ID:9948 SKID:BK0+556  timeStamp:2025-03-28 08:09:16:519
ID:9948 SKID:BK0+557.5  timeStamp:2025-03-28 08:09:16:689
ID:9948 SKID:BK0+558.5  timeStamp:2025-03-28 08:09:16:871
ID:9948 SKID:BK0+559.5  timeStamp:2025-03-28 08:09:17:34
ID:9948 SKID:BK0+561  timeStamp:2025-03-28 08:09:17:192
ID:9948 SKID:BK0+562  timeStamp:2025-03-28 08:09:17:351
ID:9948 SKID:BK0+563.5  timeStamp:2025-03-28 08:09:17:509
ID:9948 SKID:BK0+564.5  timeStamp:2025-03-28 08:09:17:668
ID:9948 SKID:BK0+566  timeStamp:2025-03-28 08:09:17:842
ID:9948 SKID:BK0+567.5  timeStamp:2025-03-28 08:09:18:08
ID:9948 SKID:BK0+568.5  timeStamp:2025-03-28 08:09:18:169
ID:9948 SKID:BK0+569.5  timeStamp:2025-03-28 08:09:18:335
ID:9948 SKID:BK0+571  timeStamp:2025-03-28 08:09:18:491
ID:9948 SKID:BK0+572  timeStamp:2025-03-28 08:09:18:653
ID:9948 SKID:BK0+573.5  timeStamp:2025-03-28 08:09:18:819
ID:9948 SKID:BK0+574.5  timeStamp:2025-03-28 08:09:18:991
ID:9948 SKID:BK0+576  timeStamp:2025-03-28 08:09:19:151
ID:9948 SKID:BK0+577  timeStamp:2025-03-28 08:09:19:323
ID:9948 SKID:BK0+578.5  timeStamp:2025-03-28 08:09:19:484
ID:9948 SKID:BK0+580  timeStamp:2025-03-28 08:09:19:646
ID:9948 SKID:BK0+581  timeStamp:2025-03-28 08:09:19:805
ID:9948 SKID:BK0+582  timeStamp:2025-03-28 08:09:19:970
ID:9948 SKID:BK0+583.5  timeStamp:2025-03-28 08:09:20:130
ID:9948 SKID:BK0+584.5  timeStamp:2025-03-28 08:09:20:290
ID:9948 SKID:BK0+586  timeStamp:2025-03-28 08:09:20:449
ID:9948 SKID:BK0+587  timeStamp:2025-03-28 08:09:20:602
ID:9948 SKID:BK0+588.5  timeStamp:2025-03-28 08:09:20:751
ID:9948 SKID:BK0+590  timeStamp:2025-03-28 08:09:20:905
ID:9948 SKID:BK0+591  timeStamp:2025-03-28 08:09:21:61
ID:9948 SKID:BK0+592  timeStamp:2025-03-28 08:09:21:216
ID:9948 SKID:BK0+593.5  timeStamp:2025-03-28 08:09:21:367
ID:9948 SKID:BK0+594.5  timeStamp:2025-03-28 08:09:21:519
ID:9948 SKID:BK0+595.5  timeStamp:2025-03-28 08:09:21:670
ID:9948 SKID:BK0+596.5  timeStamp:2025-03-28 08:09:21:816
ID:9948 SKID:BK0+598  timeStamp:2025-03-28 08:09:21:972
ID:9948 SKID:BK0+599.5  timeStamp:2025-03-28 08:09:22:120
ID:9948 SKID:BK0+600.5  timeStamp:2025-03-28 08:09:22:273
ID:9948 SKID:BK0+601.5  timeStamp:2025-03-28 08:09:22:434
ID:9948 SKID:BK0+603  timeStamp:2025-03-28 08:09:22:588
ID:9948 SKID:BK0+604.5  timeStamp:2025-03-28 08:09:22:990
ID:9948 SKID:BK0+605.5  timeStamp:2025-03-28 08:09:23:238
ID:9948 SKID:BK0+606.5  timeStamp:2025-03-28 08:09:23:398
ID:9948 SKID:BK0+608  timeStamp:2025-03-28 08:09:23:556
ID:9948 SKID:BK0+609  timeStamp:2025-03-28 08:09:23:716
ID:9948 SKID:BK0+610.5  timeStamp:2025-03-28 08:09:23:875
ID:9948 SKID:BK0+611.5  timeStamp:2025-03-28 08:09:24:39
ID:9948 SKID:BK0+613  timeStamp:2025-03-28 08:09:24:197
ID:9948 SKID:BK0+614.5  timeStamp:2025-03-28 08:09:24:352
ID:9948 SKID:BK0+615.5  timeStamp:2025-03-28 08:09:24:509
ID:9948 SKID:BK0+616.5  timeStamp:2025-03-28 08:09:24:677
ID:9948 SKID:BK0+617.5  timeStamp:2025-03-28 08:09:24:832
ID:9948 SKID:BK0+618.5  timeStamp:2025-03-28 08:09:24:995
ID:9948 SKID:BK0+620  timeStamp:2025-03-28 08:09:25:150
ID:9948 SKID:BK0+621  timeStamp:2025-03-28 08:09:25:307
ID:9948 SKID:BK0+623  timeStamp:2025-03-28 08:09:25:468
ID:9948 SKID:BK0+624  timeStamp:2025-03-28 08:09:25:626
ID:9948 SKID:BK0+625  timeStamp:2025-03-28 08:09:25:779
ID:9948 SKID:BK0+626.5  timeStamp:2025-03-28 08:09:25:935
ID:9948 SKID:BK0+627.5  timeStamp:2025-03-28 08:09:26:93
ID:9948 SKID:BK0+628.5  timeStamp:2025-03-28 08:09:26:252
ID:9948 SKID:BK0+629.5  timeStamp:2025-03-28 08:09:26:407
ID:9948 SKID:BK0+631.5  timeStamp:2025-03-28 08:09:26:570
ID:9948 SKID:BK0+632.5  timeStamp:2025-03-28 08:09:26:735
ID:9948 SKID:BK0+634.5  timeStamp:2025-03-28 08:09:26:900
ID:9948 SKID:BK0+635.5  timeStamp:2025-03-28 08:09:27:60
ID:9948 SKID:BK0+636  timeStamp:2025-03-28 08:09:27:239
ID:9948 SKID:BK0+638  timeStamp:2025-03-28 08:09:27:416
ID:9948 SKID:BK0+638.5  timeStamp:2025-03-28 08:09:27:599
ID:9948 SKID:BK0+639.5  timeStamp:2025-03-28 08:09:27:783
ID:9948 SKID:BK0+641  timeStamp:2025-03-28 08:09:27:961
ID:9948 SKID:BK0+643  timeStamp:2025-03-28 08:09:28:145
ID:9948 SKID:BK0+643.5  timeStamp:2025-03-28 08:09:28:353
ID:9948 SKID:BK0+645.5  timeStamp:2025-03-28 08:09:28:556
ID:9948 SKID:BK0+646  timeStamp:2025-03-28 08:09:28:739
ID:9948 SKID:BK0+647.5  timeStamp:2025-03-28 08:09:28:918
ID:9948 SKID:BK0+649  timeStamp:2025-03-28 08:09:29:96
ID:9948 SKID:BK0+650  timeStamp:2025-03-28 08:09:29:270
ID:9948 SKID:BK0+651  timeStamp:2025-03-28 08:09:29:444
ID:9948 SKID:BK0+652.5  timeStamp:2025-03-28 08:09:29:617
ID:9948 SKID:BK0+653.5  timeStamp:2025-03-28 08:09:29:792
ID:9948 SKID:BK0+655  timeStamp:2025-03-28 08:09:29:974
ID:9948 SKID:BK0+656  timeStamp:2025-03-28 08:09:30:176
ID:9948 SKID:BK0+657.5  timeStamp:2025-03-28 08:09:30:354
ID:9948 SKID:BK0+658.5  timeStamp:2025-03-28 08:09:30:788
ID:9948 SKID:BK0+660  timeStamp:2025-03-28 08:09:31:39
ID:9948 SKID:BK0+661  timeStamp:2025-03-28 08:09:31:218
ID:9948 SKID:BK0+662.5  timeStamp:2025-03-28 08:09:31:402
ID:9948 SKID:BK0+663.5  timeStamp:2025-03-28 08:09:31:577
